城市,新建商品住宅销售价格环比指数,新建商品住宅销售价格同比指数,二手住宅销售价格环比指数,二手住宅销售价格同比指数
北京,99.4,97.6,100.2,92.2
唐山,99.4,93.9,98.8,91.1
天津,99.7,98.8,99.6,93.6
秦皇岛,98.9,94.1,98.3,91.2
石家庄,99.5,97.3,98.9,95.0
包头,99.1,94.0,98.7,91.5
太原,99.7,99.4,99.5,95.5
丹东,99.5,95.3,99.4,91.6
呼和浩特,99.4,95.9,98.7,91.7
锦州,99.4,96.7,99.3,93.3
沈阳,99.0,95.6,99.4,92.5
吉林,100.2,96.0,99.7,92.5
大连,98.9,94.3,99.1,91.5
牡丹江,99.4,94.0,99.3,92.5
长春,99.4,95.9,99.5,93.5
无锡,100.0,96.5,99.1,91.8
哈尔滨,99.1,94.1,98.6,92.0
徐州,98.9,91.2,99.3,87.8
上海,100.4,104.4,100.5,93.7
扬州,99.8,93.3,99.5,91.8
南京,98.8,90.6,100.1,90.3
温州,98.6,93.0,99.2,89.4
杭州,99.7,98.8,100.3,93.9
金华,99.2,91.1,98.6,89.9
宁波,98.4,92.3,98.6,89.9
蚌埠,99.3,94.8,99.1,92.6
合肥,99.3,96.4,99.4,92.0
安庆,99.7,93.7,98.9,91.9
福州,99.3,93.9,98.8,90.7
泉州,98.4,97.2,98.0,91.4
厦门,98.1,90.6,99.0,87.9
九江,98.9,91.8,99.4,91.0
南昌,99.5,93.7,98.4,90.8
赣州,99.1,94.5,99.0,93.9
济南,99.4,96.8,98.8,92.1
烟台,99.4,94.6,98.2,89.9
青岛,99.2,94.4,99.4,91.2
济宁,99.5,94.5,99.5,91.9
郑州,99.3,93.2,99.5,91.4
洛阳,99.1,95.0,99.5,92.6
武汉,98.9,92.1,98.1,87.5
平顶山,99.5,96.7,99.4,93.4
长沙,99.6,97.8,98.4,91.8
宜昌,99.8,95.3,99.1,93.2
广州,98.8,90.7,98.5,87.6
襄阳,99.6,93.9,99.2,89.9
深圳,99.3,92.3,99.0,90.5
岳阳,99.3,94.5,99.4,94.6
南宁,99.5,92.5,99.4,91.2
常德,99.7,93.5,99.1,91.9
海口,99.6,97.8,99.1,91.3
韶关,100.0,93.6,99.2,93.2
重庆,99.1,96.6,99.2,91.3
湛江,99.3,90.9,99.5,92.2
成都,99.0,99.0,98.9,91.8
惠州,99.2,92.9,98.6,92.4
贵阳,99.6,97.0,99.4,93.1
桂林,99.6,95.5,99.5,92.7
昆明,99.3,94.4,99.1,94.7
北海,99.6,97.2,99.8,94.8
西安,100.2,103.7,99.2,94.1
三亚,100.1,99.0,99.5,95.7
兰州,98.5,93.5,98.7,91.2
泸州,99.3,93.2,98.9,93.7
西宁,99.2,93.1,99.4,93.8
南充,99.2,97.0,98.6,93.2
银川,99.3,94.7,99.1,93.4
遵义,99.2,96.9,99.3,95.3
乌鲁木齐,99.3,96.7,99.0,94.6
大理,99.0,96.9,99.5,94.0
