城市,新建商品住宅销售价格环比指数,新建商品住宅销售价格同比指数,二手住宅销售价格环比指数,二手住宅销售价格同比指数
北京,99.9,101.3,99.3,96.3
唐山,99.8,98.0,99.5,94.2
天津,100.1,102.1,99.5,98.0
秦皇岛,99.7,97.0,99.0,95.6
石家庄,100.1,100.9,99.5,98.2
包头,99.7,96.9,99.4,95.5
太原,99.5,100.5,99.7,97.1
丹东,99.5,97.3,99.4,94.2
呼和浩特,99.3,99.6,99.5,95.1
锦州,99.6,99.2,99.8,95.3
沈阳,99.4,98.6,99.3,94.7
吉林,100.3,100.4,99.3,93.4
大连,100.1,96.1,99.3,94.8
牡丹江,99.7,96.4,99.6,94.2
长春,100.2,98.6,99.5,94.8
无锡,100.3,98.1,99.2,95.6
哈尔滨,99.8,98.6,99.6,95.5
徐州,98.8,96.5,98.5,91.0
上海,100.4,104.2,99.2,95.5
扬州,100.2,97.1,99.4,93.7
南京,99.5,96.4,99.1,92.6
温州,99.5,97.5,99.1,93.8
杭州,99.7,101.6,98.8,96.9
金华,99.1,95.4,99.0,94.6
宁波,99.6,100.2,99.4,94.5
蚌埠,99.4,98.6,99.2,96.4
合肥,99.4,99.4,98.9,95.1
安庆,99.6,97.8,99.1,95.5
福州,99.6,97.6,99.6,94.4
泉州,100.3,99.0,99.3,93.8
厦门,99.2,96.2,98.9,92.1
九江,99.2,97.3,98.9,94.7
南昌,99.0,97.6,99.5,95.1
赣州,99.6,96.5,99.3,98.9
济南,99.8,101.8,99.8,97.2
烟台,99.7,98.8,99.4,94.2
青岛,99.3,98.7,99.2,94.6
济宁,99.4,97.3,99.0,94.8
郑州,99.6,97.8,99.3,93.7
洛阳,99.6,98.3,98.9,94.9
武汉,99.4,99.5,99.0,93.9
平顶山,99.7,97.9,99.0,96.0
长沙,99.9,102.0,99.3,97.8
宜昌,99.8,97.7,99.4,94.7
广州,99.2,96.4,98.8,93.9
襄阳,99.4,98.3,99.3,93.9
深圳,99.3,95.9,98.4,94.8
岳阳,99.4,97.1,99.5,96.8
南宁,99.4,98.3,99.4,94.3
常德,99.1,97.3,99.6,97.1
海口,99.3,101.5,98.9,94.2
韶关,99.6,97.3,99.7,96.4
重庆,100.1,102.0,99.0,94.1
湛江,98.7,98.3,99.0,96.4
成都,100.0,104.4,99.1,99.0
惠州,99.6,95.3,99.0,96.0
贵阳,99.6,99.3,99.5,96.1
桂林,99.8,97.7,99.6,96.0
昆明,100.0,99.1,100.3,97.0
北海,99.6,100.6,99.7,96.7
西安,100.2,104.5,99.5,98.0
三亚,100.0,102.8,100.2,99.3
兰州,99.5,98.9,99.3,94.6
泸州,99.2,97.6,99.8,97.7
西宁,98.9,96.2,99.3,97.1
南充,99.9,98.5,99.3,98.0
银川,99.8,100.2,99.8,97.7
遵义,99.8,99.5,99.5,97.3
乌鲁木齐,99.6,99.5,99.7,96.5
大理,99.9,98.1,99.5,96.9
