城市,新建商品住宅销售价格环比指数,新建商品住宅销售价格同比指数,二手住宅销售价格环比指数,二手住宅销售价格同比指数
北京,100.0,100.8,99.6,93.6
唐山,99.6,96.5,99.4,93.6
天津,99.7,100.5,99.3,96.1
秦皇岛,99.5,96.2,99.4,93.8
石家庄,99.9,100.0,99.8,97.1
包头,99.6,95.6,99.3,94.3
太原,100.3,100.1,99.9,96.1
丹东,99.6,97.5,99.1,94.0
呼和浩特,99.6,97.9,99.5,94.3
锦州,99.9,99.0,99.5,94.7
沈阳,99.7,97.3,99.4,93.2
吉林,100.2,99.2,99.4,93.2
大连,99.6,95.9,99.2,93.1
牡丹江,99.6,96.7,99.4,93.6
长春,99.5,97.6,99.4,94.0
无锡,99.7,97.6,99.2,93.5
哈尔滨,99.6,97.1,99.3,94.0
徐州,99.2,93.9,99.2,88.7
上海,100.5,104.3,99.7,93.1
扬州,99.4,95.5,99.7,92.6
南京,98.8,93.5,99.5,90.5
温州,99.2,95.8,99.5,91.4
杭州,100.0,101.0,99.5,94.9
金华,98.6,92.6,99.1,92.6
宁波,99.4,97.7,99.4,92.7
蚌埠,99.6,97.0,99.3,94.5
合肥,99.8,98.3,99.7,93.6
安庆,99.4,95.6,99.4,93.9
福州,99.8,96.0,100.1,93.1
泉州,99.8,99.9,99.3,93.3
厦门,99.4,94.4,99.3,90.4
九江,99.4,95.5,99.7,93.9
南昌,99.6,95.9,99.9,94.6
赣州,99.9,96.3,99.5,97.8
济南,99.6,99.5,99.2,95.1
烟台,99.6,97.1,99.6,93.0
青岛,99.7,97.1,99.5,93.1
济宁,99.6,96.1,99.7,93.9
郑州,99.3,95.1,99.5,91.8
洛阳,99.7,96.7,99.6,93.6
武汉,99.2,96.4,99.1,91.1
平顶山,100.1,97.5,99.3,94.3
长沙,99.5,100.7,98.9,95.8
宜昌,99.4,95.8,99.5,94.1
广州,99.3,94.5,99.0,91.4
襄阳,99.3,96.3,99.2,92.5
深圳,99.6,94.5,99.0,92.6
岳阳,99.7,95.9,99.8,96.2
南宁,99.2,95.4,99.5,93.2
常德,99.6,95.7,99.0,94.9
海口,99.9,100.1,99.3,92.6
韶关,99.7,95.6,99.9,95.6
重庆,100.3,100.5,99.7,93.0
湛江,99.4,94.5,99.6,94.7
成都,99.9,102.7,99.3,95.7
惠州,99.4,94.2,99.7,95.0
贵阳,99.7,98.3,99.6,94.3
桂林,100.1,96.5,99.5,94.4
昆明,99.1,96.3,99.5,96.7
北海,100.4,99.8,99.8,95.8
西安,100.4,104.8,99.7,95.8
三亚,99.7,101.0,99.7,97.9
兰州,99.9,97.1,99.2,93.4
泸州,99.3,95.5,99.6,96.8
西宁,99.7,95.2,99.7,96.0
南充,100.1,98.0,99.8,96.6
银川,99.6,98.1,99.4,95.5
遵义,100.2,97.7,99.8,95.4
乌鲁木齐,99.7,98.1,99.4,95.7
大理,100.2,97.2,99.6,95.7
