城市,新建商品住宅销售价格环比指数,新建商品住宅销售价格同比指数,二手住宅销售价格环比指数,二手住宅销售价格同比指数
北京,100.1,94.5,100.0,97.1
唐山,99.5,92.3,99.4,88.6
天津,99.7,97.2,99.6,94.5
秦皇岛,99.8,92.9,99.6,89.6
石家庄,99.7,96.0,99.8,93.0
包头,99.6,93.6,99.8,89.4
太原,100.1,101.2,99.4,95.6
丹东,99.6,93.8,100.0,89.6
呼和浩特,99.4,93.9,99.6,88.8
锦州,99.7,95.2,99.5,91.5
沈阳,100.2,97.2,99.7,93.4
吉林,99.6,94.3,99.8,94.2
大连,100.3,95.0,99.3,90.7
牡丹江,99.8,92.8,99.6,92.1
长春,99.5,95.8,99.3,93.4
无锡,99.2,95.4,99.9,92.7
哈尔滨,100.3,94.6,99.6,91.9
徐州,99.6,93.9,99.2,92.6
上海,100.2,105.6,99.6,97.9
扬州,99.9,93.6,99.1,90.9
南京,100.5,96.6,99.7,94.9
温州,100.0,90.6,99.8,89.6
杭州,99.9,98.7,99.8,95.9
金华,99.9,90.4,99.7,88.8
宁波,100.3,93.4,99.6,92.0
蚌埠,99.7,93.9,99.8,93.4
合肥,100.2,94.7,99.7,91.8
安庆,99.8,94.0,99.4,91.1
福州,99.9,92.9,99.4,90.9
泉州,100.2,92.1,99.9,89.1
厦门,100.2,92.9,99.7,90.0
九江,100.0,93.0,99.8,91.1
南昌,100.3,95.0,99.7,89.5
赣州,100.0,94.9,99.9,95.1
济南,100.3,94.3,99.8,90.6
烟台,99.4,93.9,99.2,90.5
青岛,100.0,95.2,99.9,92.7
济宁,99.7,95.0,99.8,94.4
郑州,99.6,94.6,99.4,92.4
洛阳,99.9,94.2,99.7,93.2
武汉,99.7,93.3,99.4,91.0
平顶山,100.0,98.9,99.7,95.0
长沙,99.8,93.5,99.6,91.6
宜昌,100.1,95.5,99.6,92.8
广州,99.8,92.2,99.7,90.6
襄阳,99.9,94.0,99.4,89.9
深圳,100.4,95.6,100.3,94.7
岳阳,99.6,93.6,99.9,94.1
南宁,100.1,93.8,99.6,91.1
常德,100.1,92.7,99.7,91.1
海口,100.0,96.3,100.2,93.6
韶关,99.4,94.2,99.7,93.5
重庆,99.8,94.6,99.9,94.5
湛江,99.5,93.9,99.6,92.5
成都,100.3,97.0,100.2,96.2
惠州,99.8,93.7,99.5,89.8
贵阳,100.0,95.4,99.8,94.9
桂林,99.7,96.4,99.5,94.2
昆明,99.9,91.7,99.5,92.3
北海,99.7,94.1,99.4,94.6
西安,99.5,98.3,99.6,93.0
三亚,99.9,96.8,99.8,93.1
兰州,99.8,92.7,99.9,91.0
泸州,99.6,92.7,99.5,91.8
西宁,99.9,94.6,99.5,92.6
南充,99.8,97.1,99.7,93.2
银川,99.4,95.6,99.3,94.4
遵义,99.6,96.6,99.5,94.3
乌鲁木齐,99.9,96.8,99.7,94.2
大理,99.8,93.7,99.7,92.7
