城市,新建商品住宅销售价格环比指数,新建商品住宅销售价格同比指数,二手住宅销售价格环比指数,二手住宅销售价格同比指数
北京,99.9,101.0,99.1,94.7
唐山,99.6,97.2,99.3,93.9
天津,100.4,101.5,99.4,96.9
秦皇岛,99.7,96.9,98.9,94.5
石家庄,100.1,100.8,99.4,97.5
包头,99.4,95.9,99.2,94.9
太原,99.9,99.9,99.5,96.4
丹东,99.7,97.3,99.7,94.3
呼和浩特,99.7,98.8,99.4,94.6
锦州,99.9,99.3,99.4,95.0
沈阳,99.3,98.1,99.0,94.1
吉林,99.6,99.8,99.7,93.5
大连,99.5,95.9,99.5,94.1
牡丹江,99.9,96.5,99.4,94.0
长春,99.5,98.4,99.1,94.4
无锡,100.4,98.2,100.2,94.9
哈尔滨,99.4,97.9,99.6,95.4
徐州,99.5,95.5,99.4,89.7
上海,100.2,104.2,99.4,94.0
扬州,99.9,96.6,99.5,93.4
南京,98.9,95.2,99.2,91.3
温州,99.4,96.6,99.0,92.3
杭州,99.8,101.2,99.3,95.8
金华,99.2,94.1,99.0,93.8
宁波,99.6,98.9,99.2,93.6
蚌埠,99.3,97.7,99.1,95.3
合肥,99.7,98.8,99.4,94.1
安庆,99.4,96.8,99.2,94.7
福州,99.3,96.5,99.1,93.2
泉州,100.1,99.5,99.6,93.8
厦门,99.3,95.4,98.9,91.2
九江,99.3,96.4,99.5,94.4
南昌,99.6,96.9,99.4,94.6
赣州,99.8,96.4,99.5,98.7
济南,99.6,100.5,99.3,96.3
烟台,99.7,98.0,99.7,93.6
青岛,99.7,97.9,99.4,93.8
济宁,99.5,96.9,99.6,94.6
郑州,99.5,96.7,99.3,92.7
洛阳,99.5,97.4,99.0,94.1
武汉,99.5,98.4,98.5,92.4
平顶山,99.8,97.8,98.9,95.1
长沙,99.7,101.7,99.5,97.3
宜昌,99.6,96.7,99.5,94.5
广州,99.2,95.4,99.0,92.5
襄阳,99.1,97.3,99.4,93.4
深圳,99.5,95.2,99.5,93.9
岳阳,99.6,96.7,99.7,95.8
南宁,99.3,97.1,99.2,94.0
常德,99.4,96.6,99.1,95.9
海口,99.5,100.7,99.4,93.6
韶关,99.4,96.5,99.2,96.2
重庆,100.0,101.2,99.7,93.6
湛江,99.0,95.9,99.3,95.3
成都,99.9,103.6,99.1,97.2
惠州,100.0,95.0,99.2,95.4
贵阳,99.7,99.3,99.4,95.1
桂林,99.5,96.5,99.6,95.2
昆明,100.2,98.4,100.4,97.9
北海,100.4,100.4,99.5,96.3
西安,100.3,104.8,99.6,96.9
三亚,99.7,101.9,99.6,98.8
兰州,99.4,97.8,99.5,94.5
泸州,99.1,96.6,99.8,97.3
西宁,99.8,95.7,99.5,96.6
南充,99.8,98.5,99.6,97.2
银川,99.4,99.1,99.2,96.6
遵义,99.6,98.4,99.7,96.5
乌鲁木齐,100.0,99.1,99.6,96.1
大理,99.7,97.5,99.3,96.4
