城市,新建商品住宅销售价格环比指数,新建商品住宅销售价格同比指数,二手住宅销售价格环比指数,二手住宅销售价格同比指数
北京,99.3,95.4,98.7,89.7
唐山,99.1,92.2,98.8,88.9
天津,98.8,97.7,99.5,92.8
秦皇岛,99.3,93.1,99.1,89.5
石家庄,99.7,97.8,99.2,92.9
包头,99.2,93.6,98.7,89.4
太原,100.3,99.5,99.8,95.6
丹东,99.2,94.4,99.1,90.1
呼和浩特,99.4,95.3,98.8,90.0
锦州,99.4,94.6,99.2,92.5
沈阳,99.6,94.7,98.9,91.7
吉林,99.6,96.0,99.5,93.6
大连,99.3,93.8,98.8,90.5
牡丹江,99.3,93.1,98.9,90.9
长春,99.4,96.5,99.2,93.4
无锡,99.5,95.8,98.8,90.7
哈尔滨,99.1,93.7,99.3,92.0
徐州,100.1,91.5,99.0,88.2
上海,100.6,104.9,98.8,92.4
扬州,99.6,93.8,98.6,90.2
南京,100.0,91.3,98.8,90.7
温州,98.6,89.4,98.5,87.9
杭州,99.4,97.6,98.6,92.8
金华,98.5,88.6,98.3,87.1
宁波,99.4,90.8,99.3,89.2
蚌埠,99.1,93.3,99.6,91.5
合肥,99.2,94.6,98.8,90.2
安庆,99.4,92.1,99.3,90.0
福州,98.6,91.0,98.8,88.7
泉州,99.2,92.9,98.6,88.8
厦门,98.8,88.7,98.3,84.6
九江,99.8,91.6,98.5,89.1
南昌,98.7,92.6,98.4,88.2
赣州,99.3,92.6,99.8,93.2
济南,98.2,94.1,99.4,90.5
烟台,99.3,93.4,99.4,89.4
青岛,99.3,93.2,98.9,90.3
济宁,99.6,93.1,99.7,91.6
郑州,99.3,93.0,99.0,91.1
洛阳,98.5,93.3,98.9,91.4
武汉,98.7,90.7,99.6,86.8
平顶山,99.3,97.1,99.4,92.6
长沙,99.2,94.8,99.1,90.7
宜昌,99.4,94.9,99.5,93.0
广州,99.1,89.7,98.9,87.2
襄阳,99.4,93.2,99.1,88.8
深圳,99.0,91.4,98.7,88.0
岳阳,99.2,93.4,99.4,93.9
南宁,98.9,91.8,98.8,89.7
常德,99.1,91.5,98.2,89.8
海口,99.4,95.4,99.5,89.8
韶关,99.7,93.1,99.3,92.8
重庆,99.4,93.8,98.9,90.9
湛江,99.2,90.1,99.1,91.1
成都,99.2,95.9,99.3,90.8
惠州,99.4,92.0,99.1,89.1
贵阳,99.3,95.3,99.6,93.3
桂林,99.3,95.8,99.5,93.5
昆明,99.0,92.6,99.1,93.3
北海,99.0,94.6,99.4,93.5
西安,99.4,101.9,99.2,93.1
三亚,99.2,96.3,98.2,93.8
兰州,99.5,91.2,99.6,90.3
泸州,98.5,91.9,98.8,92.9
西宁,99.7,93.7,99.5,92.5
南充,99.7,96.5,99.2,91.6
银川,99.8,94.2,99.7,93.7
遵义,99.3,96.1,99.1,94.5
乌鲁木齐,99.7,96.1,99.1,94.7
大理,99.6,94.4,99.4,91.7
