城市,新建商品住宅销售价格环比指数,新建商品住宅销售价格同比指数,二手住宅销售价格环比指数,二手住宅销售价格同比指数
北京,99.5,96.7,100.0,92.8
唐山,99.0,93.3,98.4,90.3
天津,99.8,98.8,99.2,93.2
秦皇岛,99.2,93.9,99.1,90.9
石家庄,99.6,97.1,99.7,94.7
包头,99.1,93.7,98.6,90.9
太原,100.0,99.3,99.7,95.2
丹东,99.8,94.9,98.6,90.7
呼和浩特,99.9,95.8,99.0,91.0
锦州,99.6,96.2,99.1,92.8
沈阳,99.8,96.0,99.3,92.4
吉林,100.0,96.7,99.5,93.1
大连,99.5,94.5,98.9,91.1
牡丹江,98.7,93.0,98.9,92.2
长春,99.9,96.6,99.6,93.5
无锡,99.7,96.8,99.4,91.9
哈尔滨,99.3,93.8,99.2,91.8
徐州,99.4,90.4,99.5,88.1
上海,100.2,104.4,100.1,94.4
扬州,99.5,93.0,99.4,91.6
南京,99.3,90.0,99.9,91.0
温州,98.1,91.5,99.1,89.3
杭州,99.7,98.5,99.6,94.1
金华,98.6,90.6,98.5,89.2
宁波,99.3,92.1,99.4,89.8
蚌埠,99.5,94.5,99.4,92.3
合肥,99.0,95.7,99.1,91.7
安庆,99.2,93.0,99.1,91.3
福州,98.9,93.3,99.0,90.4
泉州,98.6,95.8,98.4,90.2
厦门,98.7,89.9,98.2,86.8
九江,99.1,91.1,98.6,90.3
南昌,99.4,93.4,98.3,89.5
赣州,98.6,93.6,99.5,93.4
济南,99.5,96.2,98.9,91.2
烟台,99.5,94.5,99.0,89.8
青岛,99.3,93.8,99.2,91.2
济宁,99.4,93.8,99.6,91.6
郑州,99.2,93.1,99.1,91.4
洛阳,99.1,94.4,99.3,92.1
武汉,99.6,91.9,98.4,86.6
平顶山,99.9,97.0,99.6,93.2
长沙,99.2,96.9,99.5,91.6
宜昌,99.6,95.8,99.3,93.3
广州,99.2,90.1,99.1,87.6
襄阳,99.3,93.8,99.1,89.9
深圳,99.1,92.0,98.8,90.2
岳阳,99.1,94.3,99.6,94.6
南宁,99.4,92.7,99.1,90.8
常德,98.8,92.2,99.3,91.1
海口,99.5,97.2,99.1,90.9
韶关,99.1,93.1,99.3,93.1
重庆,98.7,95.1,99.4,91.5
湛江,98.7,90.0,98.8,91.5
成都,99.4,98.2,99.3,91.4
惠州,99.6,93.1,98.9,91.3
贵阳,99.0,96.5,99.3,93.2
桂林,99.8,95.9,99.7,93.0
昆明,99.7,94.2,100.0,94.3
北海,99.7,96.7,99.5,94.0
西安,100.2,103.4,99.4,94.1
三亚,99.3,98.1,99.4,95.5
兰州,98.7,92.2,99.1,90.8
泸州,99.5,93.2,99.2,93.5
西宁,99.6,93.1,98.6,92.7
南充,99.3,96.6,98.9,92.5
银川,99.6,94.8,99.7,93.8
遵义,99.7,96.4,99.4,95.1
乌鲁木齐,99.5,96.4,99.7,94.9
大理,99.4,96.0,99.1,92.9
