城市,新建商品住宅销售价格环比指数,新建商品住宅销售价格同比指数,二手住宅销售价格环比指数,二手住宅销售价格同比指数
北京,99.6,94.3,100.1,96.2
唐山,99.8,92.4,99.3,88.5
天津,100.3,97.9,100.1,94.3
秦皇岛,99.7,92.7,99.5,88.9
石家庄,99.9,96.5,99.7,92.6
包头,99.9,93.4,99.6,88.8
太原,100.3,101.0,99.6,95.7
丹东,99.4,93.9,99.8,89.4
呼和浩特,99.4,94.2,99.3,88.6
锦州,99.5,95.4,99.2,91.4
沈阳,99.8,96.3,99.6,92.8
吉林,99.7,94.4,99.4,94.1
大连,100.2,94.2,99.8,90.9
牡丹江,99.6,92.9,99.4,91.9
长春,99.8,95.8,99.5,93.3
无锡,100.5,96.6,100.2,93.0
哈尔滨,99.9,93.7,99.4,91.9
徐州,99.6,93.9,99.4,92.7
上海,100.6,105.6,100.4,97.7
扬州,99.5,93.7,98.8,91.2
南京,100.7,95.2,100.0,94.4
温州,99.9,90.0,99.8,88.9
杭州,100.3,98.6,99.6,95.5
金华,100.0,89.7,99.9,88.2
宁波,100.6,92.8,100.3,91.6
蚌埠,99.8,93.5,99.7,92.7
合肥,99.9,94.1,99.6,91.6
安庆,99.9,93.7,99.3,91.0
福州,100.2,92.3,99.5,90.6
泉州,100.1,92.0,99.8,88.9
厦门,100.1,92.1,100.0,89.3
九江,99.6,92.3,99.5,90.9
南昌,99.7,94.4,99.4,89.2
赣州,100.2,94.7,99.8,94.6
济南,99.8,93.7,99.9,90.1
烟台,99.6,94.1,99.5,91.0
青岛,100.1,94.8,100.0,92.2
济宁,99.8,94.7,99.5,94.2
郑州,100.3,94.6,99.3,92.2
洛阳,99.7,93.9,99.6,92.6
武汉,100.5,93.1,99.5,90.1
平顶山,100.1,98.8,99.8,94.2
长沙,100.0,93.5,99.7,91.5
宜昌,99.9,94.9,99.7,92.7
广州,100.0,91.6,99.8,90.0
襄阳,99.8,93.3,99.2,89.9
深圳,100.2,94.8,100.4,93.9
岳阳,99.8,93.6,99.8,93.9
南宁,100.1,93.0,99.7,90.8
常德,99.7,92.1,99.3,90.6
海口,100.4,95.8,99.7,92.9
韶关,99.7,94.2,99.8,93.0
重庆,100.4,94.8,99.6,94.4
湛江,99.9,93.3,99.5,92.2
成都,100.7,96.6,100.2,95.1
惠州,100.2,93.8,99.4,89.5
贵阳,99.8,95.1,99.7,94.5
桂林,99.8,96.2,99.5,94.3
昆明,99.7,91.9,99.2,93.1
北海,99.4,94.7,99.7,94.7
西安,99.6,99.0,99.7,93.0
三亚,100.2,96.6,99.8,92.9
兰州,100.0,92.4,99.3,90.7
泸州,99.5,92.2,99.7,92.0
西宁,99.7,94.5,99.6,92.6
南充,99.7,97.1,99.9,93.1
银川,99.8,95.6,99.7,94.3
遵义,100.1,96.6,99.7,94.4
乌鲁木齐,99.6,97.0,99.7,94.1
大理,99.7,93.7,99.8,92.3
