城市,新建商品住宅销售价格环比指数,新建商品住宅销售价格同比指数,二手住宅销售价格环比指数,二手住宅销售价格同比指数
北京,98.9,98.2,98.8,91.4
唐山,99.2,94.5,98.4,91.2
天津,99.6,99.3,98.9,93.8
秦皇岛,99.0,94.8,99.1,92.3
石家庄,99.3,97.7,98.9,95.8
包头,99.5,94.5,99.0,92.5
太原,100.1,99.5,99.4,95.5
丹东,99.2,95.8,98.7,91.6
呼和浩特,99.5,96.7,98.8,92.7
锦州,99.6,97.5,99.5,93.4
沈阳,99.6,96.2,99.4,92.6
吉林,98.7,96.0,99.0,92.1
大连,99.5,95.5,99.1,91.7
牡丹江,98.9,94.8,99.1,92.6
长春,99.8,97.0,99.5,93.6
无锡,99.4,96.1,99.3,92.0
哈尔滨,99.4,95.2,99.3,92.8
徐州,99.3,92.2,98.8,87.6
上海,100.6,104.5,98.7,92.1
扬州,98.8,93.6,99.7,91.9
南京,98.9,91.5,99.4,89.3
温州,99.4,94.5,99.1,90.0
杭州,99.4,99.6,99.0,93.1
金华,99.0,91.7,98.5,90.8
宁波,98.7,94.1,98.4,90.5
蚌埠,99.5,95.2,99.2,93.1
合肥,99.7,97.0,99.1,92.1
安庆,99.4,93.8,98.7,92.5
福州,99.2,94.4,98.6,91.3
泉州,99.2,98.4,99.1,92.7
厦门,98.9,92.1,98.0,88.1
九江,98.3,92.6,98.8,91.3
南昌,99.5,94.2,98.1,92.1
赣州,99.2,95.0,98.9,95.2
济南,99.4,97.5,98.4,93.0
烟台,99.3,95.2,99.1,91.3
青岛,99.3,95.3,98.8,91.4
济宁,99.0,95.1,98.8,92.1
郑州,99.5,93.5,99.1,91.1
洛阳,99.7,95.6,99.0,92.7
武汉,98.5,93.2,98.7,88.7
平顶山,99.6,96.9,99.4,93.5
长沙,99.0,98.3,98.8,93.3
宜昌,99.3,95.3,98.7,93.2
广州,98.6,91.7,98.4,88.6
襄阳,99.2,94.7,98.8,90.4
深圳,99.2,92.6,99.0,90.8
岳阳,99.5,95.0,99.4,95.0
南宁,98.5,92.7,99.2,91.1
常德,98.4,93.4,98.8,92.3
海口,99.9,98.7,99.2,91.8
韶关,99.1,93.3,99.2,93.5
重庆,98.6,97.3,99.3,91.5
湛江,99.5,91.7,99.2,92.4
成都,99.3,100.2,98.9,93.0
惠州,99.4,92.6,98.9,92.9
贵阳,99.4,97.1,99.4,93.3
桂林,99.5,95.4,99.6,92.5
昆明,98.5,94.6,98.8,94.9
北海,99.5,97.8,99.4,94.4
西安,99.9,103.8,99.0,94.4
三亚,99.3,99.2,99.3,96.4
兰州,99.5,95.2,99.3,92.5
泸州,99.3,93.4,98.9,94.5
西宁,99.6,93.9,99.3,94.5
南充,99.6,97.7,98.9,94.7
银川,99.2,95.8,99.1,94.0
遵义,99.7,97.6,99.8,95.5
乌鲁木齐,99.8,96.9,99.4,95.0
大理,99.2,97.1,98.5,93.9
