城市,新建商品住宅销售价格环比指数,新建商品住宅销售价格同比指数,二手住宅销售价格环比指数,二手住宅销售价格同比指数
北京,99.5,94.7,100.9,93.8
唐山,99.3,92.1,99.0,88.2
天津,100.3,97.1,100.2,93.3
秦皇岛,99.4,92.8,99.1,88.4
石家庄,99.9,97.3,99.8,92.7
包头,99.6,93.1,99.2,88.6
太原,100.1,100.5,99.7,95.3
丹东,99.5,94.0,98.7,88.9
呼和浩特,99.3,94.6,98.9,89.1
锦州,100.3,95.0,99.1,92.1
沈阳,99.9,95.6,99.8,92.5
吉林,99.7,94.7,99.5,93.7
大连,99.2,93.6,99.6,90.2
牡丹江,99.5,92.8,99.3,91.7
长春,100.2,96.8,99.8,93.8
无锡,99.2,95.7,99.7,91.5
哈尔滨,99.6,93.3,99.1,91.9
徐州,99.5,92.3,100.2,90.6
上海,100.6,105.0,100.4,95.1
扬州,99.6,93.7,99.1,91.1
南京,100.1,92.4,100.0,92.6
温州,99.9,89.4,98.7,87.8
杭州,100.9,97.4,100.8,93.9
金华,99.4,88.5,99.5,87.4
宁波,100.2,91.2,100.1,90.6
蚌埠,99.5,92.9,99.7,91.9
合肥,99.4,93.7,99.6,90.5
安庆,99.8,93.2,99.6,90.5
福州,99.7,91.0,99.6,89.8
泉州,98.7,91.6,99.1,88.4
厦门,100.5,90.0,100.4,86.9
九江,99.0,91.8,99.6,89.9
南昌,99.9,93.2,99.6,88.5
赣州,100.0,93.8,99.9,93.5
济南,99.8,93.5,99.3,89.9
烟台,99.7,93.9,99.6,90.9
青岛,99.8,93.1,99.6,91.2
济宁,99.9,93.9,99.8,93.2
郑州,99.7,93.1,99.5,91.5
洛阳,99.8,93.5,99.5,91.2
武汉,100.4,90.6,99.8,88.1
平顶山,100.1,97.8,99.8,93.0
长沙,99.4,93.3,99.6,90.6
宜昌,100.3,94.9,99.7,92.3
广州,99.7,90.1,99.6,88.1
襄阳,99.5,92.6,99.4,89.2
深圳,100.3,92.9,100.5,91.0
岳阳,99.8,93.3,99.6,93.7
南宁,100.0,92.3,99.5,90.6
常德,99.3,90.9,99.6,90.1
海口,99.8,94.7,100.0,90.9
韶关,99.5,94.1,99.4,93.1
重庆,100.3,94.2,100.4,92.9
湛江,100.9,91.8,99.7,91.6
成都,100.5,95.5,100.7,92.4
惠州,99.4,92.8,99.6,89.0
贵阳,100.0,94.9,99.7,93.6
桂林,99.8,96.2,99.7,93.8
昆明,99.7,91.8,99.5,94.0
北海,99.5,94.6,99.6,94.2
西安,99.8,100.3,99.7,92.5
三亚,99.6,95.5,99.4,93.0
兰州,99.9,91.5,99.7,90.3
泸州,99.8,91.7,99.5,92.1
西宁,99.5,93.4,99.2,92.3
南充,100.3,96.7,99.7,92.2
银川,99.8,94.7,99.6,94.2
遵义,99.5,96.0,99.6,94.5
乌鲁木齐,100.0,96.4,99.6,94.2
大理,99.6,93.9,99.7,91.9
