城市,新建商品住宅销售价格环比指数,新建商品住宅销售价格同比指数,二手住宅销售价格环比指数,二手住宅销售价格同比指数
北京,99.9,94.6,100.5,95.5
唐山,99.6,92.4,99.5,88.7
天津,100.2,97.7,100.1,93.7
秦皇岛,99.7,92.7,99.4,88.6
石家庄,99.6,96.6,99.5,92.4
包头,99.7,93.2,99.5,88.7
太原,100.0,100.2,99.8,95.8
丹东,99.6,94.0,99.8,89.1
呼和浩特,99.2,94.1,99.0,88.8
锦州,99.6,95.4,99.3,91.9
沈阳,100.2,95.9,99.6,92.4
吉林,99.5,95.0,99.7,93.9
大连,99.9,94.1,99.7,90.4
牡丹江,99.8,92.9,99.5,92.0
长春,99.5,96.2,99.2,93.3
无锡,100.2,96.4,99.6,92.1
哈尔滨,99.5,93.6,99.6,92.1
徐州,99.9,93.2,100.0,91.9
上海,100.5,105.3,100.9,96.6
扬州,100.0,94.3,99.4,91.8
南京,100.6,94.0,99.9,93.5
温州,99.6,89.7,99.4,88.3
杭州,100.4,98.0,99.8,94.7
金华,99.8,88.8,99.5,87.3
宁波,100.5,91.8,99.4,90.7
蚌埠,99.8,93.1,99.6,92.2
合肥,99.8,93.7,99.5,91.0
安庆,99.5,93.4,99.4,90.8
福州,100.1,91.7,99.7,90.7
泉州,100.4,92.2,99.5,88.4
厦门,100.3,91.3,100.4,88.3
九江,99.7,91.9,99.6,90.3
南昌,99.8,93.6,99.6,89.3
赣州,100.3,94.1,100.4,94.1
济南,99.9,93.7,99.8,90.0
烟台,99.7,94.2,99.4,90.8
青岛,100.3,94.1,99.7,91.5
济宁,99.6,94.3,99.9,93.8
郑州,100.4,93.9,99.6,92.3
洛阳,99.9,93.7,99.7,92.0
武汉,100.4,92.0,100.2,89.7
平顶山,100.2,98.4,99.9,93.4
长沙,100.1,93.4,99.9,91.1
宜昌,99.8,94.8,99.9,92.5
广州,99.9,90.9,99.7,89.1
襄阳,99.8,93.0,99.5,90.0
深圳,100.2,93.9,100.1,92.0
岳阳,99.5,93.2,99.6,93.6
南宁,100.3,92.3,99.5,90.5
常德,100.0,91.4,99.5,90.8
海口,99.5,94.8,100.2,92.2
韶关,99.4,94.1,99.2,92.9
重庆,99.7,94.5,99.6,93.8
湛江,99.4,92.2,99.3,91.7
成都,100.6,96.0,100.3,94.1
惠州,100.1,93.3,99.6,89.2
贵阳,99.9,94.9,99.6,94.3
桂林,99.7,96.3,99.6,94.5
昆明,99.8,92.1,99.3,94.1
北海,99.8,95.0,99.7,94.8
西安,99.7,99.6,99.8,92.8
三亚,100.6,96.3,99.4,93.3
兰州,99.8,91.9,99.9,90.7
泸州,99.8,92.0,99.7,92.1
西宁,99.3,93.8,99.1,92.3
南充,100.4,97.3,99.8,92.6
银川,100.0,95.5,99.9,94.3
遵义,99.9,96.3,99.5,94.2
乌鲁木齐,100.1,97.0,99.6,94.1
大理,99.9,93.9,99.7,92.0
